Year;Total_standard;number;mean_weight;Biomass
1997;108,366402116402;398,412698412698;375,229878510684;40,6623119007775
1998;67,8571428571429;405,952380952381;358,008639071602;24,293443365573
1999;92,5595238095238;401,785714285714;355,045361322899;32,8628295748278
2000;79,8214285714286;714,285714285714;339,644803043695;27,1109333858092
2001;66,8650793650794;679,166666666667;330,400293547021;22,0922418502671
2002;45,6845238095238;307,738095238095;341,07493186552;15,5818458456421
2003;52,0833333333333;367,857142857143;339,801840237995;17,6980125123956
2004;62,3015873015873;378,571428571429;371,280361454751;23,131355852538
2005;67,2619047619048;325;344,725965711206;23,1869250746228
2006;52,1825396825397;267,857142857143;339,354784622182;17,7083945150067
2007;16,7328042328042;98,015873015873;311,442476383266;5,21130598710094
2008;23,4126984126984;139,285714285714;301,696571672147;7,06353084470503
2009;37,8968253968254;227,380952380952;297,93586043586;11,2908232823907
2010;39,0873015873016;173,809523809524;299,733692697311;11,7157812423354
2011;77,9761904761905;327,380952380952;327,339299876084;25,5246715974804
2012;15,8730158730159;96,4285714285714;273,688065099458;4,34425500157869
2013;7,14285714285714;42,8571428571429;289,777777777778;2,06984126984127
2014;12,6984126984127;76,1904761904762;274,4833984375;3,48550347222222
2015;5,4421768707483;38,0952380952381;279,625;1,52176870748299
2016;8,13492063492063;48,8095238095238;259,317073170732;2,10952380952381
2017;15,1785714285714;85,7142857142857;291,393162393162;4,42293192918193
2018;23,6111111111111;140,47619047619;288,938122141512;6,82215010611903
2019;1,58730158730159;9,52380952380952;270;0,428571428571429
2020;27,547619047619;323,095238095238;309,037836714568;8,51325659711321
2021;1,42857142857143;28,5714285714286;296,958333333333;0,42422619047619
2022;0,555555555555556;3,57142857142857;338,5;0,188055555555556
